年份,Australia,Canada,France,Germany,Japan,Korea,Norway,Sweden,Taiwan,United States,,,,,,,,,,,,,,,,
2007,3,2.1,3.1,3.5,2.2,1.7,3.9,3.7,1.6,2.4,,,,,,,,,,,,,,,,
2008,3,2.2,3.1,3.5,2.2,1.9,4,3.7,1.6,2.4,,,,,,,,,,,,,,,,
2009,3.1,2.2,3,3.6,2.2,1.9,4.1,3.8,1.6,2.4,,,,,,,,,,,,,,,,
2010,3.2,2.3,3,3.7,2.2,2,4.1,3.9,1.7,2.4,,,,,,,,,,,,,,,,
2011,3.3,2.4,3.1,3.9,2.25,2,4.2,4,1.7,2.5,,,,,,,,,,,,,,,,
2012,3.3,2.4,3.1,4,2.3,2.1,4.2,4.1,1.8,2.5,,,,,,,,,,,,,,,,
2013,3.4,2.5,3.1,4,2.35,2.2,4.3,4.1,1.8,2.6,,,,,,,,,,,,,,,,
2014,3.5,2.5,3.1,4.1,2.4,2.2,4.4,4.2,1.8,2.6,,,,,,,,,,,,,,,,
2015,3.5,2.6,3.1,4.1,2.4,2.2,4.4,4.3,1.9,2.6,,,,,,,,,,,,,,,,
2016,3.6,2.6,3.1,4.2,2.4,2.3,4.5,4.1,1.9,2.6,,,,,,,,,,,,,,,,
2017,3.7,2.7,3.2,4.3,2.4,2.3,4.7,4.1,2,2.6,,,,,,,,,,,,,,,,
2018,3.7,2.7,3.2,4.3,2.4,2.3,4.8,4.1,2,2.6,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
